#eta,sqrt(ADC),correction
0.012500,0.250000,0.039432
0.012500,0.750000,0.039432
0.012500,1.250000,0.039432
0.012500,1.750000,0.039432
0.012500,2.250000,0.039432
0.012500,2.750000,0.039432
0.012500,3.250000,0.039432
0.012500,3.750000,0.039432
0.012500,4.250000,0.039432
0.012500,4.750000,0.039432
0.012500,5.250000,0.039432
0.012500,5.750000,0.039432
0.012500,6.250000,0.039432
0.012500,6.750000,0.039535
0.012500,7.250000,0.039733
0.012500,7.750000,0.039932
0.012500,8.250000,0.040130
0.012500,8.750000,0.040329
0.012500,9.250000,0.040527
0.012500,9.750000,0.040726
0.012500,10.250000,0.040924
0.012500,10.750000,0.041123
0.012500,11.250000,0.041321
0.012500,11.750000,0.041520
0.012500,12.250000,0.041718
0.012500,12.750000,0.041916
0.012500,13.250000,0.042005
0.012500,13.750000,0.042050
0.012500,14.250000,0.042095
0.012500,14.750000,0.042141
0.012500,15.250000,0.042186
0.012500,15.750000,0.042231
0.012500,16.250000,0.042276
0.012500,16.750000,0.042322
0.012500,17.250000,0.042367
0.012500,17.750000,0.042412
0.012500,18.250000,0.042458
0.012500,18.750000,0.042503
0.012500,19.250000,0.042548
0.012500,19.750000,0.042572
0.012500,20.250000,0.042569
0.012500,20.750000,0.042567
0.012500,21.250000,0.042564
0.012500,21.750000,0.042561
0.012500,22.250000,0.042559
0.012500,22.750000,0.042556
0.012500,23.250000,0.042554
0.012500,23.750000,0.042551
0.012500,24.250000,0.042548
0.012500,24.750000,0.042546
0.012500,25.250000,0.042543
0.012500,25.750000,0.042541
0.012500,26.250000,0.042538
0.012500,26.750000,0.042521
0.012500,27.250000,0.042493
0.012500,27.750000,0.042466
0.012500,28.250000,0.042438
0.012500,28.750000,0.042411
0.012500,29.250000,0.042384
0.012500,29.750000,0.042356
0.012500,30.250000,0.042329
0.012500,30.750000,0.042301
0.012500,31.250000,0.042274
0.012500,31.750000,0.042247
0.012500,32.250000,0.042219
0.012500,32.750000,0.042192
0.012500,33.250000,0.042164
0.012500,33.750000,0.042170
0.012500,34.250000,0.042190
0.012500,34.750000,0.042211
0.012500,35.250000,0.042231
0.012500,35.750000,0.042251
0.012500,36.250000,0.042272
0.012500,36.750000,0.042292
0.012500,37.250000,0.042312
0.012500,37.750000,0.042332
0.012500,38.250000,0.042353
0.012500,38.750000,0.042373
0.012500,39.250000,0.042393
0.012500,39.750000,0.042414
0.012500,40.250000,0.042434
0.012500,40.750000,0.042471
0.012500,41.250000,0.042515
